date,spx,vix,vix3m,rv_30,vrp,slope,log_ret,rv_daily,iv_daily,regime,regime_label
2018-05-23,2733.2900390625,12.579999923706056,14.479999542236328,0.1042656806432686,0.0215343185937919,0.1510333569199683,0.0032431452068987,1.0517990833030343e-05,6.280015796843031e-05,2,calm
2018-05-24,2727.760009765625,12.529999732971191,14.43000030517578,0.102425658747647,0.0228743385820648,0.151636122322091,-0.0020252629577225,4.101690047923098e-06,6.230194178899133e-05,2,calm
2018-05-25,2721.330078125,13.220000267028809,14.829999923706056,0.1022714079662755,0.0299285947040125,0.1217851455489489,-0.0023600030541859,5.56961441576688e-06,6.935254248422293e-05,2,calm
2018-05-29,2689.860107421875,17.020000457763672,17.1299991607666,0.1059807902371191,0.0642192143405176,0.006462908345737,-0.0116315725117922,0.000135293479097,0.0001149525458659,2,calm
2018-05-30,2724.010009765625,14.9399995803833,16.0,0.1078484291859718,0.0415515666178611,0.0709504986203958,0.0126158753519238,0.0001591603108952,8.857285216740206e-05,2,calm
2018-05-31,2705.27001953125,15.43000030517578,16.329999923706055,0.1097777131908039,0.0445222898609538,0.0583279067226189,-0.0069033332434342,4.765600986990386e-05,9.447813865782722e-05,2,calm
2018-06-01,2734.6201171875,13.460000038146973,15.270000457763672,0.1127349377797632,0.0218650626017064,0.1344725419381113,0.0107907997092398,0.0001164413583649,7.18934924709986e-05,2,calm
2018-06-04,2746.8701171875,12.739999771118164,14.899999618530272,0.1099058068765713,0.0174941908346103,0.1695447320422148,0.0044695948983522,1.99772785553762e-05,6.440777546352812e-05,2,calm
2018-06-05,2748.800048828125,12.399999618530272,14.720000267028809,0.1098763854098187,0.0141236107754839,0.187096832247606,0.0007023462695756,4.932902823868653e-07,6.101586926172654e-05,2,calm
2018-06-06,2772.35009765625,11.640000343322754,14.1899995803833,0.1030475443843437,0.0133524590488837,0.2190720929422777,0.0085309006373119,7.27762656836898e-05,5.376571745736263e-05,2,calm
2018-06-07,2770.3701171875,12.130000114440918,14.43000030517578,0.1032830084717011,0.018016992672708,0.1896125448504062,-0.0007144436219845,5.104296889943725e-07,5.838765983187964e-05,2,calm
2018-06-08,2779.030029296875,12.18000030517578,14.600000381469728,0.1000206588869813,0.0217793441647764,0.1986863723858522,0.0031210289077513,9.74082144301957e-06,5.887000295003257e-05,2,calm
